piece,asset_path,natural_width_px,natural_height_px,mass,inertia,com_offset_px,footprint_width_px,aspect_ratio,physics_parts,triangles,regions,raw_regions,contour_vertices,holes,fallback
1,assets/01.png,817,826,4.34800,1775.255,7.415,3.000,1.0110,88,176,88,91,83,0,0
2,assets/02.png,842,1101,4.14400,971.803,3.723,6.000,1.3076,83,166,83,90,76,0,0
3,assets/03.png,963,1070,6.21800,2680.781,8.535,8.000,1.1111,89,178,89,93,68,2,0
4,assets/04.png,746,1407,2.63600,378.793,10.821,9.000,1.8861,54,108,54,54,62,0,0
5,assets/05.png,561,900,4.20200,918.333,0.519,9.000,1.6043,84,168,84,91,85,0,0
6,assets/06.png,849,1323,4.95600,1754.612,4.805,35.000,1.5583,63,126,63,66,67,0,0
7,assets/07.png,1209,1536,4.74000,1831.832,2.853,4.000,1.2705,102,204,102,107,84,0,0
8,assets/08.png,835,1190,5.50800,2566.696,2.475,5.000,1.4251,68,136,68,69,57,1,0
9,assets/09.png,1025,1085,5.03800,2670.843,2.201,5.000,1.0585,78,156,78,82,79,0,0
10,assets/10.png,1223,1127,6.51000,5147.624,3.157,50.000,1.0852,97,194,97,102,84,0,0
11,assets/11.png,1473,1536,7.92000,8547.864,7.191,25.000,1.0428,78,156,78,80,67,0,0
12,assets/12.PNG,1170,1395,3.71800,2601.283,4.837,6.000,1.1923,65,130,65,66,71,0,0
13,assets/13.png,976,610,4.53600,3981.248,4.575,14.000,1.6000,57,114,57,60,65,0,0
14,assets/14.png,1425,1536,7.56600,7101.376,6.276,25.000,1.0779,71,142,71,80,78,0,0
15,assets/15.png,988,1498,5.81400,3593.304,4.465,13.000,1.5162,55,110,55,55,49,0,0
16,assets/16.png,1536,757,3.30600,3597.108,6.323,12.000,2.0291,49,98,49,49,48,0,0
17,assets/17.png,1016,703,5.48000,5629.969,2.731,19.000,1.4452,58,116,58,59,60,0,0
18,assets/18.png,757,1536,3.56200,630.087,1.933,18.000,2.0291,86,172,86,97,82,0,0
19,assets/19.png,816,1536,4.00600,1049.179,2.425,8.000,1.8824,72,144,72,73,59,0,0
20,assets/20.png,885,1536,4.24600,1052.603,1.069,5.000,1.7356,122,244,122,127,82,2,0
21,assets/21.png,1177,1536,8.59200,8519.244,3.325,59.000,1.3050,50,100,50,50,44,0,0
22,assets/22.PNG,976,1338,3.96600,1328.128,2.502,5.000,1.3709,67,134,67,70,54,0,0
23,assets/23.PNG,630,531,3.40400,1817.289,0.999,56.000,1.1864,71,142,71,78,70,0,0
24,assets/24.PNG,522,575,4.05400,1448.135,12.846,7.000,1.1015,66,132,66,67,62,0,0
25,assets/25.PNG,678,1242,2.95800,422.016,3.375,16.000,1.8319,85,170,85,88,80,0,0
26,assets/26.PNG,561,912,4.03400,1163.861,2.725,11.000,1.6257,76,152,76,82,72,0,0
27,assets/27.PNG,738,852,4.88000,2744.433,3.428,6.000,1.1545,66,132,66,70,66,0,0
28,assets/28.PNG,1135,1600,3.35200,665.675,2.082,3.000,1.4097,92,184,92,95,80,0,0
29,assets/29.PNG,1071,1600,4.63200,1624.548,2.816,3.000,1.4939,83,166,83,91,70,0,0
30,assets/30.PNG,621,1050,3.61400,888.625,5.169,11.000,1.6908,61,122,61,63,64,0,0
31,assets/31.PNG,732,1382,3.29200,592.235,0.868,7.000,1.8880,58,116,58,65,67,0,0
32,assets/32.PNG,730,1476,2.09200,204.507,2.907,1.000,2.0219,65,130,65,69,61,0,0
33,assets/33.PNG,366,316,4.17400,3360.447,4.337,18.000,1.1582,60,120,60,61,58,1,0
34,assets/34.PNG,455,525,5.67800,3952.389,3.007,18.000,1.1538,74,148,74,79,73,0,0
35,assets/35.PNG,1600,755,3.64800,4219.988,2.161,14.000,2.1192,38,76,38,38,48,0,0
36,assets/36.PNG,1153,1600,4.75600,2213.019,1.122,5.000,1.3877,63,126,63,63,48,0,0
37,assets/37.PNG,1040,1600,3.77600,957.905,2.374,13.000,1.5385,71,142,71,83,62,0,0
